Regn_Cd,Regn_Nm,Dstrc_C,Dstrc_N,Ward_Cd,Ward_Nm,WardCod,ttl_bth,totl_ml,totl_fm,Ar_kmsq,wwid,ID_ward,Yr_bttn,Mnth_bt,id_year,id_yr_m,Date,bit_cnt,dth_cnt,nwctgry,prtctd_,lnd_cvr,pvrty_n,elevatn,pop_den,dogpop,vdogs
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2009,2,4,38,2009-02-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1202,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2009,3,4,39,2009-03-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1204,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2009,4,4,40,2009-04-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1206,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2009,5,4,41,2009-05-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1207,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2009,6,4,42,2009-06-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1209,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2009,7,4,43,2009-07-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1212,242
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2009,8,4,44,2009-08-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1213,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2009,9,4,45,2009-09-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1216,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2009,10,4,46,2009-10-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1217,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2009,11,4,47,2009-11-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1220,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2009,12,4,48,2009-12-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1222,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2010,1,5,49,2010-01-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1223,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2010,2,5,50,2010-02-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1226,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2010,3,5,51,2010-03-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1228,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2010,4,5,52,2010-04-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1230,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2010,5,5,53,2010-05-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1232,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2010,6,5,54,2010-06-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1234,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2010,7,5,55,2010-07-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1236,304
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2010,8,5,56,2010-08-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1237,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2010,9,5,57,2010-09-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1239,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2010,10,5,58,2010-10-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1243,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2010,11,5,59,2010-11-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1244,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2010,12,5,60,2010-12-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1246,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2011,1,6,61,2011-01-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1249,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2011,2,6,62,2011-02-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1250,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2011,3,6,63,2011-03-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1252,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2011,4,6,64,2011-04-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1254,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2011,5,6,65,2011-05-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1257,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2011,6,6,66,2011-06-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1259,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2011,7,6,67,2011-07-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1260,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2011,8,6,68,2011-08-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1263,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2011,9,6,69,2011-09-01,4,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1264,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2011,10,6,70,2011-10-01,2,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1267,383
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2011,11,6,71,2011-11-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1270,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2011,12,6,72,2011-12-01,1,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1271,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2012,1,7,73,2012-01-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1273,0
